iter	Passed	Remaining
406	5858	8535
407	5871	8518
408	5885	8504
409	5896	8485
410	5909	8469
411	5923	8454
412	5937	8439
413	5951	8424
414	5963	8405
415	5976	8389
416	5988	8372
417	6002	8357
418	6015	8341
419	6026	8322
420	6039	8306
421	6052	8289
422	6066	8274
423	6077	8255
424	6090	8239
425	6103	8224
426	6116	8208
427	6129	8191
428	6140	8173
429	6153	8156
430	6166	8140
431	6178	8123
432	6189	8105
433	6204	8090
434	6216	8073
435	6229	8058
436	6240	8039
437	6252	8023
438	6267	8009
439	6282	7995
440	6295	7979
441	6306	7961
442	6319	7946
443	6332	7929
444	6345	7914
445	6357	7896
446	6369	7880
447	6382	7864
448	6395	7848
449	6407	7831
450	6419	7814
451	6431	7797
452	6445	7782
453	6457	7766
454	6468	7748
455	6481	7732
456	6494	7716
457	6505	7699
458	6517	7681
459	6532	7668
460	6544	7652
461	6557	7636
462	6569	7618
463	6582	7603
464	6596	7589
465	6609	7573
466	6622	7558
467	6633	7540
468	6645	7524
469	6658	7508
470	6671	7493
471	6683	7476
472	6696	7460
473	6708	7444
474	6721	7429
475	6732	7411
476	6745	7396
477	6758	7380
478	6772	7366
479	6783	7348
480	6795	7332
481	6808	7316
482	6821	7301
483	6836	7288
484	6847	7270
485	6861	7257
486	6874	7241
487	6887	7226
488	6900	7210
489	6912	7194
490	6928	7182
491	6943	7168
492	6958	7155
493	6972	7141
494	6985	7127
495	6999	7112
496	7010	7095
497	7023	7080
498	7036	7064
499	7049	7049
500	7060	7032
501	7073	7016
502	7086	7001
503	7099	6986
504	7110	6969
505	7123	6955
506	7136	6939
507	7149	6924
508	7162	6909
509	7174	6892
510	7189	6879
511	7203	6865
512	7216	6850
513	7229	6835
514	7240	6818
515	7254	6804
516	7267	6789
517	7280	6774
518	7293	6759
519	7305	6743
520	7318	6728
521	7331	6713
522	7343	6697
523	7354	6680
524	7368	6666
525	7381	6651
526	7394	6636
527	7405	6620
528	7418	6605
529	7431	6590
530	7445	6575
531	7458	6561
532	7470	6545
533	7483	6530
534	7496	6515
535	7510	6501
536	7521	6485
537	7533	6469
538	7546	6454
539	7559	6439
540	7573	6425
541	7585	6409
542	7598	6395
543	7611	6380
544	7625	6365
545	7637	6350
546	7649	6334
547	7662	6320
548	7675	6305
549	7688	6290
550	7698	6273
551	7711	6258
552	7724	6243
553	7737	6228
554	7748	6212
555	7761	6197
556	7773	6182
557	7785	6166
558	7796	6150
559	7808	6135
560	7823	6122
561	7837	6107
562	7848	6091
563	7860	6076
564	7873	6061
565	7886	6047
566	7900	6033
567	7913	6018
568	7926	6004
569	7946	5994
570	7963	5982
571	7982	5972
572	7998	5960
573	8010	5945
574	8024	5931
575	8037	5916
576	8050	5901
577	8061	5885
578	8074	5871
579	8087	5856
580	8100	5842
581	8111	5825
582	8124	5811
583	8138	5796
584	8152	5783
585	8166	5769
586	8177	5753
587	8189	5738
588	8203	5724
589	8218	5710
590	8230	5696
591	8242	5680
